date,sleep_time,wake_time,duration_hours
2025-08-24,,,0.00
2025-08-25,,,0.00
2025-08-26,,,0.00
2025-08-27,,,0.00
2025-08-28,,,0.00
2025-08-29,,,0.00
2025-08-30,,,0.00
2025-08-31,,,0.00
2025-09-01,,,0.00
2025-09-02,,,0.00
2025-09-03,,,0.00
2025-09-04,,,0.00
2025-09-05,,,0.00
2025-09-06,,,0.00
2025-09-07,,,0.00
2025-09-08,,,0.00
2025-09-09,,,0.00
2025-09-10,,,0.00
2025-09-11,,,0.00
2025-09-12,,,0.00
2025-09-13,,,0.00
2025-09-14,,,0.00
2025-09-15,,,0.00
2025-09-16,,,0.00
2025-09-17,,,0.00
2025-09-18,,,0.00
2025-09-19,,,0.00
2025-09-20,,,0.00
2025-09-21,,,0.00
2025-09-22,,,0.00
2025-09-23,,,0.00
